# schema=1
# snapshot-date=2026-07-31
# package<TAB>installed-version<TAB>channel<TAB>repository<TAB>restore-mode<TAB>execution
# Exact live-host explicit package inventory: pacman -Qqe/-Qqen/-Qqem all exited 0.
# All 15 non-sync packages were independently found by read-only paru -Sia AUR queries.
# Inventory only: installer/install.sh may display this file in read-only plan mode but no apply stage may consume it without package policy, dry-run tests and explicit approval.
# package-only installs the application without copying its account/profile data; config-backed pairs it with the repository's reviewed mappings.
gitleaks	8.30.1-1	pacman	extra	package-only	inventory-only
go	2:1.26.5-1	pacman	extra	package-only	inventory-only
google-chrome	150.0.7871.181-1	aur	aur	package-only	inventory-only
greetd-dms-greeter-git	1:0.0.0.r9.gd73d3c0-1	aur	aur	deferred	inventory-only
grim	1.5.0-2	pacman	extra	package-only	inventory-only
grub	2:2.14-1	pacman	core	manual-precondition	inventory-only
grub-btrfs	4.14-1	pacman	extra	package-only	inventory-only
gst-plugin-pipewire	1:1.6.8-1	pacman	extra	package-only	inventory-only
gtk-layer-shell	0.10.1-1	pacman	extra	package-only	inventory-only
gtk4-layer-shell	1.3.0-1	pacman	extra	package-only	inventory-only
inotify-tools	4.25.9.0-1	pacman	extra	package-only	inventory-only
intellij-idea-ultimate-edition	2026.2-1	aur	aur	package-only	inventory-only
inter-font	4.1-1	pacman	extra	package-only	inventory-only
jdk-openjdk	26.0.2.u10-1	pacman	extra	package-only	inventory-only
jdk8-openjdk	8.502.u07-1	pacman	extra	package-only	inventory-only
jq	1.8.2-1	pacman	extra	package-only	inventory-only
khal	0.14.0-1	pacman	extra	package-only	inventory-only
kimageformats	6.28.1-1	pacman	extra	package-only	inventory-only
kitty	0.48.1-1	pacman	extra	config-backed	inventory-only
leaf-markdown-viewer-bin	1.26.1-1	aur	aur	package-only	inventory-only
lib32-nvidia-utils	610.43.03-1	pacman	multilib	package-only	inventory-only
libpulse	17.0+r98+gb096704c0-1	pacman	extra	package-only	inventory-only
libva-nvidia-driver	0.0.17-1	pacman	extra	package-only	inventory-only
libva-utils	2.24.0-1	pacman	extra	package-only	inventory-only
libvirt	1:12.5.0-1	pacman	extra	package-only	inventory-only
linux	7.1.5.arch1-2	pacman	core	manual-precondition	inventory-only
linux-firmware	20260622-1	pacman	core	package-only	inventory-only
linux-headers	7.1.5.arch1-2	pacman	core	package-only	inventory-only
linux-zen	7.1.5.zen1-2	pacman	extra	manual-precondition	inventory-only
linux-zen-headers	7.1.5.zen1-2	pacman	extra	manual-precondition	inventory-only
linuxqq-appimage	3.2.31_20260720-1	aur	aur	package-only	inventory-only
lsof	4.99.7-1	pacman	extra	package-only	inventory-only
lua-language-server	3.18.2-1	pacman	extra	package-only	inventory-only
matugen	4.1.0-1	pacman	extra	config-backed	inventory-only
mesa-utils	9.0.0-7	pacman	extra	package-only	inventory-only
meson	1.11.2-1	pacman	extra	package-only	inventory-only
mission-center	1.1.0-2	pacman	extra	package-only	inventory-only
mkinitcpio	41-4	pacman	core	manual-precondition	inventory-only
mpv	1:0.41.0-3	pacman	extra	config-backed	inventory-only
nemo	6.6.4-1	pacman	extra	package-only	inventory-only
nemo-fileroller	6.6.0-4	pacman	extra	package-only	inventory-only
neovide	0.16.2-2	pacman	extra	config-backed	inventory-only
neovim	0.12.4-1	pacman	extra	config-backed	inventory-only
networkmanager	1.58.0-1	pacman	extra	manual-precondition	inventory-only
ninja	1.13.2-3	pacman	extra	package-only	inventory-only
niri	26.04-1	pacman	extra	config-backed	inventory-only
nodejs	26.5.0-1	pacman	extra	package-only	inventory-only
noto-fonts	1:2026.07.01-1	pacman	extra	package-only	inventory-only
noto-fonts-emoji	1:2.051-1	pacman	extra	package-only	inventory-only
npm	12.0.1-1	pacman	extra	package-only	inventory-only
nvidia-open-dkms	610.43.03-5	pacman	extra	package-only	inventory-only
nvidia-prime	1.0-6	pacman	extra	package-only	inventory-only
nvidia-settings	610.43.03-1	pacman	extra	package-only	inventory-only
nvidia-utils	610.43.03-5	pacman	extra	package-only	inventory-only
obsidian-bin	1.12.7-1	aur	aur	package-only	inventory-only
opencode-bin	1.18.10-1	aur	aur	package-only	inventory-only
os-prober	1.84-1	pacman	extra	manual-precondition	inventory-only
pacman-contrib	1.13.1-1	pacman	extra	package-only	inventory-only
paru	2.1.0-5	pacman	archlinuxcn	package-only	inventory-only
pipewire	1:1.6.8-1	pacman	extra	package-only	inventory-only
pipewire-alsa	1:1.6.8-1	pacman	extra	package-only	inventory-only
pipewire-jack	1:1.6.8-1	pacman	extra	package-only	inventory-only
pipewire-pulse	1:1.6.8-1	pacman	extra	package-only	inventory-only
power-profiles-daemon	0.30-1	pacman	extra	package-only	inventory-only
powertop	2.15-2	pacman	extra	package-only	inventory-only
python-linkify-it-py	2.1.0-1	pacman	extra	package-only	inventory-only
python-markdown-it-py	4.2.0-1	pacman	extra	package-only	inventory-only
python-opencv	5.0.0-7	pacman	extra	package-only	inventory-only
python-pillow	12.3.0-1	pacman	extra	package-only	inventory-only
python-pygments	2.20.0-1	pacman	extra	package-only	inventory-only
qemu-desktop	11.0.2-4	pacman	extra	package-only	inventory-only
quickshell	0.3.0-2	pacman	extra	config-backed	inventory-only
reflector	2023-5	pacman	extra	package-only	inventory-only
rime-ice-git	r985.b681a34-1	pacman	archlinuxcn	config-backed	inventory-only
rime-wanxiang-gram-zh-hans	2:20260730.092939-1	pacman	archlinuxcn	config-backed	inventory-only
rog-control-center	6.3.8-1	pacman	archlinuxcn	config-backed	inventory-only
rsync	3.4.4-1	pacman	extra	package-only	inventory-only
rustup	1.29.0-2	pacman	extra	package-only	inventory-only
shellcheck	0.11.0-130	pacman	extra	package-only	inventory-only
slurp	1.5.0-2	pacman	extra	package-only	inventory-only
smartmontools	7.5-1	pacman	extra	package-only	inventory-only
snapper	0.13.1-2	pacman	extra	package-only	inventory-only
socat	1.8.1.3-1	pacman	extra	package-only	inventory-only
sof-firmware	2025.12.2-1	pacman	extra	package-only	inventory-only
sound-theme-freedesktop	0.8-6	pacman	extra	package-only	inventory-only
starship	1.26.0-1	pacman	extra	config-backed	inventory-only
strace	7.0-1	pacman	extra	package-only	inventory-only
stylua	2.5.2-1	pacman	extra	package-only	inventory-only
sudo	1.9.17.p2-6	pacman	core	manual-precondition	inventory-only
supergfxctl	5.2.7-2	pacman	archlinuxcn	package-only	inventory-only
tesseract	5.5.3-1	pacman	extra	package-only	inventory-only
tesseract-data-chi_sim	2:4.1.0-5	pacman	extra	package-only	inventory-only
tesseract-data-eng	2:4.1.0-5	pacman	extra	package-only	inventory-only
tmux	3.7_b-1	pacman	extra	package-only	inventory-only
ttf-fira-code	6.2-4	pacman	extra	package-only	inventory-only
tumbler	4.20.1-1	pacman	extra	package-only	inventory-only
udiskie	2.6.2-1	pacman	extra	package-only	inventory-only
unzip	6.0-23	pacman	extra	package-only	inventory-only
uv	0.12.0-1	pacman	extra	package-only	inventory-only
vhs	0.11.0-1	pacman	extra	package-only	inventory-only
virt-manager	5.1.0-4	pacman	extra	package-only	inventory-only
vulkan-mesa-layers	1:26.1.5-1	pacman	extra	package-only	inventory-only
vulkan-radeon	1:26.1.5-1	pacman	extra	package-only	inventory-only
vulkan-tools	1.4.350.1-1	pacman	extra	package-only	inventory-only
webkitgtk-6.0	2.52.5-2	pacman	extra	package-only	inventory-only
wechat-appimage	4.1.1-4	aur	aur	package-only	inventory-only
wget	1.25.0-6	pacman	extra	package-only	inventory-only
wireplumber	0.5.15-1	pacman	extra	package-only	inventory-only
wl-clipboard	1:2.3.0-1	pacman	extra	package-only	inventory-only
wl-screenrec-git	r355.0925290-1	pacman	archlinuxcn	package-only	inventory-only
wooz-git	r189.24e2856-1	aur	aur	package-only	inventory-only
wpa_supplicant	2:2.11-5	pacman	core	manual-precondition	inventory-only
wtype	0.4-2	pacman	extra	package-only	inventory-only
xclip	0.13-6	pacman	extra	package-only	inventory-only
xdg-desktop-portal-gnome	50.0-1	pacman	extra	package-only	inventory-only
xorg-server-xvfb	21.1.24-1	pacman	extra	package-only	inventory-only
xwayland-satellite	0.8.2-1	pacman	extra	package-only	inventory-only
yazi	26.5.6-4	pacman	extra	package-only	inventory-only
yt-dlp	2026.07.04-1	pacman	extra	package-only	inventory-only
zoxide	0.10.0-1	pacman	extra	package-only	inventory-only
zram-generator	1.2.1-1	pacman	extra	manual-precondition	inventory-only
